game_commentary,game_movement,game_number
"trying to provoke weaknesses. Really at this point my idea was to tie black up defending pawns and then march my king in and win by queening. 
,Black is running out of reasonable moves. 
,The king is now quite active and the open g-file could give some nice attacking ideas as well. 
,(!?) getting active. This allows white to trade the f and h pawns for the b pawns and then just push the a pawn all the way home. The situation is quite bad for black though and maybe this incites white to try to protect. 
,Of course no Rf1 and suddenly defending passively. 
,The reason why white is willing to give up two pawns including an outside passer for two doubled pawns. Rook behind the pawn is a winning idea and here the rook in the dark square can never be attacked. The rest is a matter of technique. 
,Trying to set up a fortress. 
,This also cuts off the third rank so the king can never get active. 
,The point of the previous move but black is lost. 
,Black has very few tries here. 
,Trading rooks means white is just going to win all of the pawns and push the f-pawn to victory. If the bishop ever tries to defend then the pawn will queen.
,And black resigns. If they try to take the f-pawn then white can win with a rook and king vs a king. Very likely I didn't find the absolute best line in the endgame (one of my weaknesses) but it seems like a reasonable practical decision. One of the reasons that I like the Evan's gambit is that black's best defenses normally give back material and white can play even material with a better position or, as in this game, go into an endgame an exchange up. 
","
25... f5 26. Rc3,
26... Rd7 27. Rac1 c5 28. Rb1 Rd6 29. Kg2 c4 30. Kg3,
30... Kg7 31. Kf4,
31... Rd2,
32. Rxb6,
32... Rxf2 33. Rxb7 Rxh2 34. Ra3,
34... Rh8 35. a5 Ra8,
36. a6 Bc8 37. Rb6,
37... Be6 38. a7 Kf6,
39. Rb8,
39... Bd5 40. Rxa8,
40... Bxa8 41. Ra4 Ke6 42. Rxc4 Kd7 43. Rc3 Bb7 44. Ra3 Ba8 45. Kxf5 Kc7 46. Kf6",156_2
"But, he attacks my N, instead.  That was one sign, in which, I figured out that my plan would work.  When something like this happens and he attacks, I give it to him, or as I'll apply with what Charles said in his annotation, the Greek Gift.  So, if it black takes, I get something worth more.
,Thus, I continue with my plan.  And, as anticipated, he takes.  In doing so, I not only get a Rook, but I'll win an additional piece for pawn.  This will put black to the equivalent of a piece behind.  That was the plan behind my unsound 15.Qh5+?? if plan A failed which it did.  Then, I worked on plan B.  However, it shouldn't have worked, as black could've left me behind by getting his Bd5 out of harm's way, earlier.  For example, 17...Rg8 which drives the Q back and allows him to get his Bd5 to safety.  In fact, something like that happened in a very recent game where I thought that I was winning my opponents Queen with the plan to pin it.  But, I overlooked that he would just take my N with his Queen, after which, I resigned as there was nothing else to learn.
,With that being said, I go right after Ted's e pawn, as I don't want it to become a passer.
,And, Ted protects it.
,So, I go right after his N.
,Instead of recapturing right away which allows the N to escape, I see the potential to pin and win.  Thus, I would get back the piece I lost earlier and go way ahead.
,But, Ted sees and runs away.
,So, I throw in the discover check by recapturing, at once.
,And, instead of giving up my pawn, I attack his N.  When Ted retreat...
,I plan to attack it again by advancing my b pawn.
,?? Seeing the plan Ted played this but missed something crucial.  As now, I've not only compensated, but I get back the piece that I lost and then some by remembering what ION said about short range tactics.
,?? As I saw what's coming.  Thus, by taking, I'll be a R and pawn up without compensation since black will be in check using the same short range tactics.  
,With that, I'd say that the position is pretty much resignable for Ted.  He can hope that I go wrong and stalemate him.  But, I've got ways to prevent, as I'm considered to be, perhaps, the strongest student in the chess club, according to Jack himself (which is why I get less time then everyonelse in the tournament and will likely give an even bigger handicap in the tourney.)  With that being said, I won't be giving Ted a chance of counterplay.
,I saw where he might try, though, as Ted has a passed pawn, and this is it.  I must be careful to prevent the possibility of him promoting.  That's why I'm bound to take it.
,Why I also say that the position is pretty much resignable is that there is one move that would've delayed me from taking this pawn.  That was 29...c5, but after 30.bxc5 that pawn would fall as I'd take on the following move.
,Bringing his K into action.
,But, using what I remember about pawn chains, I place Ted in check right away.  I think that better would've been 31.Rd5 to prevent his K from coming down as what happens.
,Meanwhile, I attempt to target his c7 or h7 pawns.
,I thought that this was a better way to do it.  I also ideas of promoting my f2, g2, or h2 pawns.  If I didn't fixate on that, I would've just played 33.Re7 right away which would get one of those pawns.
,Trying to get some compensation, Ted plays this.  As he is threatening three of my pawns.  I'm familiar with this pattern as I saw a similar example in the WTW consultation game between brigadecommander and stalhandske.  As I suggested a move that was bad, and stalhandske made me go by my suggestion and play that in her position so that I'd learn why it's bad.  Sure enough, as he would've won two pawns in a similar, and I'm keeping that in mind because I have not intention of allowing Ted to win back material.
","
16... d6,
17. Qg7,
17... dxe5 18. Qxh8+ Kd7 19. Qxd8+ Rxd8 20. exd5 Nxd5 21. Rfe1,
21... Re8,
22. c4,
22... bxc4 23. Rad1,
23... Nb4,
24. dxc4+,
24... Kc8 25. a3,
25... Nc6 26. b4,
26... Nd4,
27. Rxd4 exd4,
28. Rxe8+,
28... Kb7 29. Rd8,
29... d3,
30. Rxd3 Kb6,
31. c5+,
31... Kc6 32. Rf3,
32... Kb5 33. Rh3,
33... Ka4",99_1
"Anyway Im sidetracking for today's annotation, in the greetings. An aspect of my game I've been missing is generating threats with moves and the abuse of outposts and watching higher players play and comment their games makes you learn a thing or two. 

So todays game will demonstrate the use of an Outpost that generates checkmate threats and what happens when that threat is overlooked.
,Those who've seen some of my annotations might know I like to annotate to save games I want to save, and can be quite entertaining. Also why I like annotating here on gameknot, I rarely see nimsovich opening annotations by black. I have a few in my repertoire of annotations now but all with different lines. Thus why I like this opening.
,That all being said this game merits a save cause it was almost a perfect game (1 innacuracy and 1 mistake and my mistake was  because there was a stronger move to play).

White doesn't allow for my favorite Gambit here and I prefer the scandanavian defense with d5.
,Very rare that in multiple days time control I get an exchange on d5. 
,Natural opening moves done here. White tends to take different routes at this point. They can develop their other knight play either bishops or sometimes their c pawn tend to be the 4 pieces that will move.
,My opponent goes bd3 here and in the past when facing this I would always exchange lsb's here and let their queen come out. 
,This I stole from my recent internet viewings. I quite like letting white do the exchange and not letting his queen out. And if he wants to open my h file all the better. Nimso games where I get a queen side castle tend to go well for me. 
,And with c3 and his queen not out I can strike at the middle right away. Usually f6 would have to come at a safer time if lsb's were off the board and whites queen had roaming ability.
,And so white gives the open file but I guess h3 is to hinder rook exit somewhat. Although what I like about the opening of the h file is not to take the rook out necessarily but the threats this open file can give if white castles king side.
,In games where white has that nice pawn chain connected with c3 and black having played nc6 , blacks dsb has to be patient and might only be able to come in play when whites dsb comes in direct play.
,Discomfort the dsb and gain space for Knight also this was to invite dxf6 to undouble my pawns. But white doesn't want a nice Outpost for his Knight on d5.
,Here a little Knight dancing. I have to exchange a piece is my thought to gain maneuvering room.
,Looks like my opponent is going queen side castles also.
,Here I was gonna let him exchange the knights out originally
,But when he replied this I judged that letting him exchange wouldn't be good anymore and since he doesn't seem to want to exchange on f6 I don't mind tempting him with letting him open the file
,He didn't accept my generous double pawn offer :)
,And so now I can close the middle and look to lock up queen side and then castle.
,Final piece development for white before castling
,I played this to trick my opponent into not queen side castling hehe but also to get him to move the pawns into a lock up if he wants to queen side castle.
,I liked this response.
","
1. e4,
1... Nc6,
2. d4,
2... d5 3. e5,
3... Bf5 4. Nf3 e6,
5. Bd3,
5... Bg6,
6. c3 f6,
7. Bxg6+ hxg6 8. h3,
8... Nge7,
9. Bf4 g5,
10. Bh2,
10... Ng6 11. Qe2,
11... Nh4,
12. Rg1,
12... Nxf3+ 13. Qxf3,
13... f5,
14. Nd2,
14... a5,
15. a3",113
"With the b-pawn safe I can get my final piece out.
,I hadn't expected this, and in retrospect I wish I had got rid of this Bishop when I had the chance, leaving Black with a hole on g7. Better still was retreating to f4, attacking the undefended d-pawn.
,Instead of these options I go quite wrong. Interestingly, this would probably have been playable had the Black Knight still been on b8. But my caution in covering the b-pawn has given Black the chance to develop it, and he now has the chance to throw my game into disarray!
,Nasty, threatening to give me doubled, isolated f-pawns. But I see no way of avoiding them, since after 16.Nxe5 Bxg5 my Queen is threatened. I quite miss 17. f4 Bh6 18. Nf3 Qf6 19. Rbe1 Bd7 20. Ng5 Qd4+ 21. Kh2 Bf5, which is bad enough, but better than what follows...
,Wrong defence.
,Black gets my pawns in the required mess.
,I'm thinking only to protect my two helpless pawns, but this could have been disastrous.  If 18...Bxh3+ 19.Kxh3 (or I lose the Rook)Qxf3+ 20.Kh2 Re5 I'm in real trouble.
,Fortunately, Black misses this possibility too, and I get the chance for some very desperate defending...
,I'm in a mess, but it's a defendable one. Not as bad as I think.
,I'm planning on doubling up my Rooks behind that weak h-pawn, but driving the Rook away with 20.f4 was a better plan.
,Allowing the other Rook into the game. Black could have done this with 20...Bf4, forcing an exchange that would have benefitted him, but he's in control now anyway.
,I'm hoping he'll swap, but of course he won't...
,Instead driving my King into the corner and stopping me doubling the Rooks behind the h-pawn.
,Curiously missing a chance to line his big guns up against me with 22...Rh5
,Until I force him there! Curious how a move can be correct at one point and quite wrong a move or so later. I'm hoping to trap one of these big guns, but it's not going to happen.
,Adding to the h-pawn's defence. But placing my Queen on the open file is disastrous; after 24.Re8 and the forced exchange of my Rook on e1 I'm probably finished.
,Fortunately, Black goes for exchanging down a little too soon, missing the better chance.
,I can't afford a discovered check!
,At the very least I can undouble my pawns. However, Black might have been better keeping his Queen on the board.
,The King heads out, but it's going nowehere while my Rook controls the only open file. I've rather weathered the storm and am only a pawn down, and a Rook pawn at that. It could have been much worse. Usually this tiny advantage is enough for my opponent, but he's rather underestimated his lead. It's not going to be easy.
","
14. Bg5,
14... Bf6,
15. Qd2,
15... Ne5,
16. Bxf6,
16... Nxf3+ 17. gxf3,
17... Qxf6 18. Kg2,
18... Qh4,
19. Rfh1 Re5,
20. Rh2,
20... Bd7,
21. Re1,
21... Rg5+,
22. Kh1 Qh6,
23. f4,
23... Rh5 24. Qe3,
24... Rxh3,
25. Rxh3 Bxh3 26. Kg1,
26... Qh4 27. Qg3,
27... Qxg3+ 28. fxg3 Kf8",123_1
,,161_2
"Today in my quest of game annotation I continue my examination of games that I have played in the Evan's gambit. Unlike the first game that I played, this game was a closer affair with an interesting attack that lead to a winning endgame. Let's examine. 
,As normal with the Evan's gambit I will be making notes on what the computer (Komodo) says in these positions is the best move, focusing on what black should be doing on defense and what white should be doing on the attack. The usual caveat with machines not always understanding a position exists, however, machines tend to be quite good at concrete lines and tactics, which the Evan's gambit is full of. 
,Signifying the Evan's gambit. Black does not actually have to take this pawn, but if they don't they do fall back into a passive position with white gaining space and often an attack as well. 
,Also the best way to refute a gambit is to accept it. 
,One of the main ideas in the opening is to stop black from developing properly all while opening avenues for your pieces to attack. At some point the idea is that black will have to give back some material to stay in the game and at worst white will have an even endgame. That is the idea of course. Does not always happen that way. 
,The best move, keeping an eye on the e1 square for the future. 
,This is the variation I have been trying so far. It is a full 3 pawn sac if black wants. Check out another game I annotated if you would like to see how that might go. http://gameknot.com/annotate.pl?id=62485
,The natural move, accepting another pawn and asking white what their idea is. 
,The full three pawn sacrifice, at least temporarily. Black can take on c3 and be up three pawns and down in development. Or they can start to develop but give white a strong center with many nice attacking chances. 
,Black chooses the latter idea and plays the natural looking d6 move. There are often ideas here of white playing e5 because d6 is now a target to attack, but if white can't figure out a way to do that then it opens up the light squared bishop and tries to control some important squares. 
,Here is the first important position of this game. Black has to decide how to unravel his pieces and there are a lot of possible lines for white to attack. White is still down a pawn, or course but is ready to begin an attack. The a5 bishop is controlling e1, so the rook can't come into there if white can open the center, and the threat of Qb3 is such that the c8 bishop is kind of stuck. Interesting position though, and one of the reasons I like the Evan's gambit. Lots of ways for black to go wrong. 
,Potentially getting ready to castle and developing. This move seems kind of odd to the eye, but Bf6 doesn't really work because it allows white to play e5 at the right moment with tempo and smash open the center with likely tactics to go along with it. 
,I think this is probably the best move in the position, though I did also consider Qb3 and some other normal looking development moves. This prevents black from castling here though because if 9..O-O then 10. Qh5 looks great, threatening mate on h7 and pressuring f7 as well. 10..h6 11. Nxf7 Rxf7 wins the exchange and keeps a very strong attack going. Of course black has to figure out how to deal with the pressure on f7 without castling.
,Defending f7. Take a minute and think what you should play. White clearly has a nice position. You could play Qb3 or Qh5 with extra pressure on f7 which is somewhat hard to meet nicely. You could just take on h7 with the knight, for the rook to move, and then repeat the position at material equality. You could just take on f7 anyway, giving two pieces for a pawn and a rook and then play Qh5 at the end to pick up the h7 pawn anyway. Not to mention some Ba3 developing move or e5 trying to smash open the middle. Consider what you'd play and we'll talk about it in a second.
,This is what I played. I thought it better than Qb3 because it have the option of taking with the queen instead of taking with the bishop if black doesn't meet this properly. I thought that if g3 then Qxh7 looked great and that I was likely to win an exchange in the worse case scenario. The computer likes Nxh7 here with the idea that 10. Nxh7 Rh8 11. Ng5 Rf8 12. Qh5 is the same but now black can't block with Ng6 so easily. if 12..Ng6 then Nxf7 Rxf7 Qxg6 (not possible right now because the h7 pawn would protect g6) and white is crashing through winning the exchange in a great position instead of in an unclear position. If you think another move works as well let me know in a comment. I'm always looking for interesting ideas in this opening. 
,(!?) pretty cool try by black here. In most of these lines I end up winning the exchange but taking on h7 with the knight and winning the rook for that knight. The real question is who is going to have the initiative after the dust settles and this idea opens up some nice squares for the black pieces and gives black a bit of activity. 
,Taking with the bishop allows him to trade the knight for the bishop and keep simplifying, which helps his cause. 
,(?!) My thought here was that I'm winning an exchange by force, but this allows black to complicate the matter needlessly. Better is to just play a developing move. 12. Nd2 or Bd2 is better (blocking the e1 square from the black bishop so the rook can open up against the king. Remember, material here is dead equal and white has a great attack going. Not that the h1 rook has moved they are not castling any time soon so slow playing is better. Winning exchanges is still a reasonable thing to do though. 
,Only move. If Rh1 then Bxc4 wins a piece with the pressure still going. 
,The computer prefers 13. Nxf6+ Qxf6 14. Ba3. My play on move 12 was to win the exchange and I didn't see anything better so I was still going for my plan. 
","
1. e4,
1... e5,
2. Nf3 Nc6 3. Bc4 Bc5 4. b4,
4... Bxb4,
5. c3,
5... Ba5,
6. d4,
6... exd4,
7. O-O,
7... d6,
8. cxd4,
8... Nge7,
9. Ng5,
9... Rf8,
10. Qh5,
10... d5,
11. exd5,
11... Nxd5 12. Nxh7,
12... Nf6,
13. Qe2+",156
"my personal setup for the Grand Prix Attack (GPA)... I prefer this over the closed Sicilian with Nc3, such as 1. e4 c5, 2. Nc3 d6, 3. f4, for many reasons, mainly concerning Nc6; after Nf6, we now have d3... the main object here is g3, Bg2, 0-0, and develop...
,Black has no better than an early d5, countered by e5, possibly followed by Bf5, Be2, e6, d3... this early outbreak gives White the advantage... 
,stage 1 completed; Whites' sights are on f7...
,better first a6, a4, Qc7, to avoid upcoming complications...
,better than Bxf3, Qxf3, 0-0, g4/Qg3!, and the GPA is rolling...
,always an important move, in this variation; it counters mainly Qb6, followed by c4 and check... after Qb6, Qc2, supporting e4, and eventually d4...
,a very bad moment to try and neutralize Bc4; Black had best in Qd6, Nb3, b6, Nh4, a5...
,better Nc6...
,whatever the solution may be, this is not it; better try Bc6, c4, bxc4, dxc4, Rb8, or Nc6, Nb3, c4, etcetera... c5 has to be utilized at some time...
,a nasty surprise...
,not better is g6, exd5, Rfe8, Qxe5, Qxe5, Nxe5, Bf5, g4...
,all forced, Black is running into trouble soon...
,the point of this small combination; White is winning at least some material, especially after Raf1...
,even worse for Black is gxf6, Nf5!, Qd8, Ne4!, followed by Bg7...
,Black is in big trouble; the rogue pawn d5 is the desperado killer here... best option is running from checks with Kh8, and sit things out...
,there it is: Black is losing a piece...
,simple, but lethal: considering the threat Ne7+, followed by Qxe5, Black has to play Nxd6, Nxd6, Rad8, N2e4, c4, losing the Q's Knight...
,or Qd8; this loses swiftly...
,after Kg7 or Kh8, follows Qxe5 and soon mate... best is to get it over with by Qxe7, dxe7, and pray for a quick and not too painful kill...
,the easy way out...
","
1. e4 c5 2. f4 d6 3. Nf3 Nc6 4. c3,
4... e5,
5. fxe5 dxe5 6. Bc4 Bg4 7. O-O Nf6 8. d3,
8... Be7,
9. h3 Bd7,
10. Be3,
10... O-O 11. Nbd2 Qc7 12. Qe1 Na5,
13. Qg3 b5,
14. Bd5 Nxd5,
15. Bh6,
15... Bf6,
16. exd5 Bf5 17. Nh4 Bg6,
18. Rxf6,
18... gxh6,
19. Nf5,
19... Nb7,
20. d6,
20... Qd7,
21. Ne7+,
21... Kh8 22. Qxe5 Nxd6",130
,"
23. Rxf7#",130_1
"Kanie starts off with the Queen's pawn openings.  I wasn't sure how getoverit was going to respond.
,But, once getoverit played this, I was pretty sure that it was going to be QG since that's a well known opening.  Of course, it could also become the Colle's Franketort System or the London System, along with other things.  But, the most common response is QG.
,The Slav Defense is also how I respond to the QG.
,Kanie develops a piece.
,As does getoverit.
,Opening up a line for his Bf1, as well as, establishing a solid pawn chain.  But, I would've opened up a similar line by fianchettoing with 4.g3.
,And, getoverit has the same idea in mind.  Similarly, I would've fianchetto'd with 4...g6.
,This is where, however, Kanie finachettos.  So, there's got to be something that I'm not seeing.  I just don't know what that is.
,Centralizing his N which is generally a good way to go about.
,Threatening to exchange.  So, my inference is that exchanging benefits Kanie here.
,That's why I'm not surprised to see getoverit place white in check.
,Not wanting to exchange B's, though, this is how Kanie gets out of check.  And, I would've done the same thing here.
,I don't see the point behind this move.  The only reason being is that it appears to weaken the King since getoverit has advanced his weakest pawn on the chess board, similar to what I see in TA's blitz Q sac.
,With that being said, I am not surprised to see Kanie castle here.  In fact, I like it because the K is safe here.
,But, getoverit, however, delays it by developing another piece.
,Taking advantage of his fianchetto by placing the B there.  I think along the same line when it comes to the fianchettos.
,This is where getoverit decides to castle, at once.
,Meanwhile, Kanie decides to kick the B.  It has to be for tempo gain, as well as, maintaining a semi open file, in the process.
,I think that Kanie is planning to attack again.  Although, white could've played 11.c5 right away.  But, by playing this first, the plan would be adding to the pawn chain.
,getovert decides to bring his Q into play, at once.  
","
1. d4,
1... d5,
2. c4 c6,
3. Nf3,
3... Nf6,
4. e3,
4... e6,
5. b3,
5... Ne4,
6. Bd3,
6... Bb4+,
7. Nbd2,
7... f5,
8. O-O,
8... Nd7,
9. Bb2,
9... O-O,
10. a3,
10... Bd6 11. b4,
11... Qf6",34
"Dream position for a London player. 
,...this starts serious hostilities, and forces black to lose castling rights. 
,It's not the proper time to play the dark squares.
,Providing c2 to my B, and controlling the center. 
,Risky, of course, but my attack is coming. 
,? Maybe not the right one. This allows...
,...which exchanges my good lsb. 
,Faint counterattack, but with no definite break in plan. 
,?? I thought about this move before, but now, with the R on e3, it is a fatal mistake that could have costed me the game. 
,My mate threat comes first. 
,...but now I have to face the R issue. 
,If bxa2, Kc2. 
,? This saves me.
,I thought I needed this in order to keep chances...
,Not NxR, QxN, and everything is over. 
,If RxN, Bg5+.
,?? The move I was waiting for. 
,From here, white is winning material, but with black's answer, it becomes mate. See: 
,??
,??
","
1. d4 d5 2. Bf4 Nf6 3. Nf3 e6 4. Nbd2 Bd6 5. Ne5 c6 6. e3 Bxe5 7. dxe5,
7... Nfd7 8. Qg4,
8... Rg8 9. Bd3 g6,
10. h4 c5 11. c3,
11... Nc6 12. Nf3 Qb6 13. O-O-O,
13... a5 14. h5 a4 15. hxg6 hxg6 16. Ng5,
16... Ncxe5,
17. Qh4,
17... Nxd3+ 18. Rxd3 a3 19. b3,
19... c4 20. Qh7,
20... Rf8,
21. Rd4 cxb3 22. Rb4,
22... Qc5,
23. Rxb3 Nf6 24. Qg7 Nh5 25. Rxh5,
25... gxh5 26. Nh7 b5 27. Nf6+,
27... Ke7 28. Ng8+,
28... Kd8 29. Bg5+ Kc7,
30. Be7,
30... Rxg8,
31. Qe5+ Kc6",49
"THis. Now my R is trappedd, and only my N prevents its death. It seems easy for white to force me to give back the exchange after g4, but it comes that after that move I can answer with Rxf3, preparing my revenge on Ne5. Very tricky, but when you are at my level, on a blitz, it was still thrilling. Will I lose this possible high-win? Will I be able to... throw it away?
,Trapping his other N, just trying to work out something against d6.... !!!
,Of course not cxe6, Nxe6+, forking my R. 
,It seems fair Nxd6, KxR, NxN, but I had already considered...
,Of course, I was very lucky, since my opponent didn't see Nc5+... and white wins! If my K can't stop the d pawn...
,Saved!
,No fork in g5 (it was not a waste my pawn move). Now, white's pawns will fall like flies!
,My +1600 had it for enough (Nd6 is not a real threat). Probably more dued to my opponent's light game than my ability. Sometime I had to be on the other side of a bad day's game! Thanks for reading!
","
22. Ne4,
22... h6,
23. d6 Kd7,
24. g4,
24... Rxf3,
25. gxf5,
25... Rxe4,
26. dxc7 Kxc7 27. c5 Rxf5",37_1
"Not surprisingly, Jack attacks my R.
,So, I counterattack.
,Trying to put pressure on me.  It does work a little, but there is not enough to change my next move, as I am not willing to exchange here.  That's because of what I noted earlier being that now, it's my N for his B.
,Thus, I attack.  When Jack defends...
,I attack again.  We will get into the same territory.  My goal is to get Jack's B off of the a3-f8 diagonal.  As then, I'd be able to fork with Ne7+ and win a R for N.  Jack doesn't allow that.  And, one of those variations involves exchanging a lot of pawns, btw.
,?? But, Jack made a terrible mistake by capturing that pawn.  As now, even if I could do it the fork isn't necessary, when I can get a piece for free.  Seeing the bad move, I immediately take his B on b4 to leave him a piece down, without anything in return.  As now, he'll really have to struggle.  But, being confident and expecting the unexpected is what help me to seize this opportunity as I have missed these kinds of opportunities too often.
,As I was threatening to win another pawn, Jack protected it.
,I wasn't sure of what to do, so I doubled up here based on Jack's advice to do that.  But, I think that better was 26.Nd5  The reason I didn't play that first was if I was to double up a move later the N would interfere with that.  However, it would also threaten 27.Ne7+ which would make it difficult to drive off.  Jack probably would've found the threat and responded.  But, that alone, would've been more pressure against his forces.
,I am not sure why Jack played this as mate was not immediately threatened.
,So, seeing that the pawn is blocked, I attack b5.
,Not surprisingly, Jack protects.
,And, that's when I attack his R.  Not surprisingly, he defends.
,But, it is an odd way.  This is Hope Chess.  Being a piece down, he is giving me another pawn.  What's bad is that I also considered 29.Rxb5?? which would lost immediately, in which case, the Hope would've worked.  And, it would become a WTW chess game where I got mated.  But, I saw what's going on, as I went wrong in a similar way with a team game.  I believe he gave me a pawn with the same type of threat.  By, overlooking his had two Rooks against one in a back rank.  So, when he captured, I resigned because recaptured is forced, with which, he would've mated me at once.  Knowing that, combined with comments from bhidragon about those basic threats, I figured out what Jack wants, and I put a stop to it.  However, that was not before considering 29.Ne7+ which is effective.  But, I asked myself the question about mobility.  Like if I could free my N, and then make a threat of my own.  I didn't see it any, and I wouldn't be able to do anything with right away.  For after Jack would get out of check, this threat would remain.  So, the move after is what I decided to play right away.  As GM Susan Polgar put it, I opened up a window to stop the threat.
,With which, he also opens up a window.  And, that's when I make a similar threat of my own.  But, I don't use the N as it just check and Jack gets out.  So, there's not much in the way of mobility.  However, by threatening with the R, instead, there is a great deal of mobility and it will be difficult for Jack to drive off the threat that's coming which at the time, I thought would be impossible.
,So, this is where it starts.  As I am threatening what I play next.  But, then would continue with something 32.Rxg7+ Kh8 33.Rh7+ Kg8 34.Rg7# which is mate.  
,This move doesn't appear to change anything, but it does.  As my threat is the same.  But, what I forgot is that Jack can and will defend with his 31st move which means that, not surprisingly, he saw this coming.  
,What's worth noting is that even though I'm no longer threatening checkmate, I have both of my Rooks on the seventh rank.  That is known to be very powerful.
,Jack's idea is to exchange.  Well, being a piece up, I don't hesitate to liquidate.  Even when exchanging doesn't work, the only time that I do just because it's possible occurs when I'm ahead.  As it is about liquidating.
,With that being said, I try to exchange again.
,But, just like with Ken, Jack refuses.
","
18. Qxf6 Bxf6 19. Rxd6 Be7,
20. Rd7,
20... Bb4,
21. Nd5,
21... a5 22. a3,
22... Bc5 23. b4 axb4 24. axb4 Bxb4,
25. Nxb4 b5,
26. Rfd1,
26... f6,
27. Rd1d5,
27... Rcb8,
28. Nc6,
28... Rba8,
29. g3 h6,
30. Re7,
30... Kh7,
31. Rdd7 Rfg8 32. Ref7,
32... Raf8,
33. Rxf8 Rxf8 34. Rd8,
34... Rf7",73_1
"i calculated that Nothing serious could come from Rc1+ or Nc2+
,totally forgetting my Rg4...
,and now ... Kh8 followed by 32. Rxf7 and then mate in 3.
","
28... Nxe3 29. Rd7,
29... Nc2+ 30. Ka2 Bf7,
31. Rxg7+",188_1
"Hey hey all! Good afternoon!
,Here's yet another nimso annotation hehe. This game gets quite hectic real fast. But the ending is worth keeping.
,Strongest reply
,Preferred d5. We all got our playstyles :)
,Ooooooo , takes and not advance, we are gonna have some exchanges this game it looks like
,Recapture
,Going nc3 right away can allow Queen takes pawn for a Wiley game or forces a queen retreat
,Pin+development
,Nc3 now forces a queen retreat, gaining some development tempo
,But I'm a gambler at heart! queen check! For the players who don't like tangled positions or don't want to risk a queen trade here. Retreating the queen back to d8 is playable
,It is best for white to block with queen here. Allowing him to develop lsb when black exchanges queens. As for me I love the games where opponent blocks with a piece.
,Exchange to double pawn him or gain the d4 pawn if he recaptures with queen.
,Opponent chooses double pawn.
,I reposition my queen to allow my e pawn some movement room
,Maybe I could've chosen a better square. His bishop develops with tempo on my queen.
,Maybe queen d7 was better. But I wanted my queen to be out still and have diagonals to the queen side. Was anticipating him to castle queen side.
,Opponent heads towards queen side castling. He's way more developed than me. But his structure makes it a bit easier to anticipate his moves.
,Told myself I can wait until he plays his Knight to b5 to castle. Until then it's time to bring my other pieces out.
,And so after his castle my dsb development he plays the Knight to b5 and I go with my castle.
,I'm thinking he played this because I don't have an lsb anymore. 
","
1. e4,
1... Nc6,
2. d4,
2... d5,
3. exd5,
3... Qxd5,
4. Nf3,
4... Bg4,
5. Nc3,
5... Qe6+,
6. Be3,
6... Bxf3,
7. gxf3,
7... Qf5,
8. Bd3,
8... Qh5,
9. Qe2,
9... e6,
10. O-O-O Bb4 11. Nb5 O-O-O,
12. Kb1",105
